account_id,candidate_id,city,platform,handle,url,account_role,verification,evidence,last_checked,active
shen-web-campaign,shen-poyang,taipei,website,puma.taipei,https://puma.taipei/,campaign,first_party,官網本體 2026-07-05 fetch 成功 站名「沈伯洋台北市長競選官方網站」；pumashen.org 為同站鏡射轉址,2026-07-05,true
shen-fb-campaign,shen-poyang,taipei,facebook,puma.taipei,https://www.facebook.com/puma.taipei/,campaign,cross_ref,官網頁首頁尾直連 facebook.com/1087764201093899；搜尋顯示 facebook.com/puma.taipei 為「台北沈伯洋」粉專；FB 擋爬無法一手確認該 ID 即同一頁,2026-07-05,true
shen-fb-personal,shen-poyang,taipei,facebook,pumashen,https://www.facebook.com/pumashen/,personal,cross_ref,搜尋確認「沈伯洋(@pumashen)」粉專存在 與 IG/Threads/YT 同 handle 個人矩陣,2026-07-05,true
shen-ig-campaign,shen-poyang,taipei,instagram,puma.shen,https://www.instagram.com/puma.shen/,campaign,unverified,截至 2026-07-05 官網 IG 直連已改為 pumashen；多組搜尋均查無 @puma.shen 存在跡象 判定已不存在或非官方導向,2026-07-05,false
shen-ig-personal,shen-poyang,taipei,instagram,pumashen,https://www.instagram.com/pumashen/,personal,first_party,官網頁首頁尾直連 https://www.instagram.com/pumashen/ 現為唯一官方導向 IG（59K 粉絲 330 posts）,2026-07-05,true
shen-threads-campaign,shen-poyang,taipei,threads,puma.shen,https://www.threads.com/@puma.shen,campaign,unverified,截至 2026-07-05 官網 Threads 直連為 @pumashen；搜尋查無 @puma.shen Threads 帳號 判定已不存在或非官方導向,2026-07-05,false
shen-threads-personal,shen-poyang,taipei,threads,pumashen,https://www.threads.com/@pumashen,personal,first_party,官網頁首頁尾直連 https://www.threads.com/@pumashen 自介「2026 台北市長參選人」403K 粉絲,2026-07-05,true
shen-yt-personal,shen-poyang,taipei,youtube,PumaShen,https://www.youtube.com/@PumaShen,personal,first_party,官網頁首頁尾直連 https://www.youtube.com/@PumaShen 頻道名「沈伯洋Puma」每日受訪影片同步官網影片區,2026-07-05,true
shen-x-personal,shen-poyang,taipei,x,pumashen,https://x.com/pumashen,personal,unverified,同 handle 且貼文以沈伯洋第一人稱發言（例 x.com/pumashen/status/1847806524867170555）但官網未直連 X 擋爬無法核對自介,2026-07-05,true
shen-line-campaign,shen-poyang,taipei,line_oa,unknown,https://join.puma.taipei/line/UkfBBgZ2,campaign,first_party,官網頁首與頁尾「加入 LINE」直連；落地頁標題「沈伯洋 | LINE 官方帳號」（oakmega SCRM 閘道需 LINE 登入 無法取得 basic ID）,2026-07-05,true
chiang-wa-fb,chiang-wanan,taipei,facebook,chiangwanan,https://www.facebook.com/chiangwanan/,personal,cross_ref,搜尋確認「蔣萬安(@chiangwanan)」長期公開本人粉專 市政與競選訊息共用,2026-07-05,true
chiang-wa-ig,chiang-wanan,taipei,instagram,wanan.chiang,https://www.instagram.com/wanan.chiang/,personal,cross_ref,與 Threads/YouTube 同 handle wanan.chiang 三平臺互證 含市政內容,2026-07-05,true
chiang-wa-threads,chiang-wanan,taipei,threads,wanan.chiang,https://www.threads.com/@wanan.chiang,personal,cross_ref,handle 與 IG/YouTube 對應 搜尋確認帳號存在,2026-07-05,true
chiang-wa-yt,chiang-wanan,taipei,youtube,wanan.chiang,https://www.youtube.com/channel/UC9EWrkZoT3agfx45s6FdVtQ,personal,cross_ref,2026-07-05 fetch 頻道 about 頁確認 handle @wanan.chiang 頻道關鍵字含台北市長市政 與 IG/Threads 同 handle,2026-07-05,true
chiang-wa-line,chiang-wanan,taipei,line_oa,eso5326z,https://page.line.me/eso5326z,personal,cross_ref,搜尋結果確認 page.line.me/eso5326z 頁面名「蔣萬安」LINE Official Account,2026-07-05,true
chiang-wa-x,chiang-wanan,taipei,x,WananChiang,https://x.com/WananChiang,personal,cross_ref,帳號名「蔣萬安 Wanan Chiang」自介 Mayor of Taipei 2020 年起長期本人名義發文（例 x.com/WananChiang/status/1846896789909332269）,2026-07-05,true
su-ch-web,su-chiaohui,new-taipei,website,chiao.tw,https://chiao.tw/,campaign,first_party,官方網站本人域名 2026-07-05 fetch 確認正常運作,2026-07-05,true
su-ch-fb,su-chiaohui,new-taipei,facebook,chiaohui.su,https://www.facebook.com/chiaohui.su,personal,first_party,官網 chiao.tw 導覽列與頁尾直連,2026-07-05,true
su-ch-ig,su-chiaohui,new-taipei,instagram,su.chiaohui,https://www.instagram.com/su.chiaohui/,personal,first_party,官網 chiao.tw 導覽列直連,2026-07-05,true
su-ch-yt,su-chiaohui,new-taipei,youtube,UCBybqVtDU2YgADc8tBqUz5A,https://www.youtube.com/channel/UCBybqVtDU2YgADc8tBqUz5A,personal,first_party,官網 chiao.tw 導覽列直連,2026-07-05,true
su-ch-line,su-chiaohui,new-taipei,line_oa,@suchiaohui,http://line.me/ti/p/%40suchiaohui,personal,first_party,官網 chiao.tw 導覽列直連 LINE 官方帳號,2026-07-05,true
su-ch-threads,su-chiaohui,new-taipei,threads,su.chiaohui,https://www.threads.com/@su.chiaohui,personal,cross_ref,與官網直連 IG 同 handle 且自介一致（新北市長參選人／立委）約10.9萬追蹤,2026-07-05,true
su-ch-podcast,su-chiaohui,new-taipei,podcast,水獺媽媽巧巧話,https://open.spotify.com/show/06fXdjNXspAe1QLML8EsAv,personal,cross_ref,本人主持節目 Spotify creators 帳號 chiaohuisu 且 Apple Podcasts 同名（podcasts.apple.com/us/podcast/id1525687063）IG 自介亦提及,2026-07-05,true
lee-sc-fb,lee-shih-chuan,new-taipei,facebook,李四川Hammer-Lee-100051818071280,https://www.facebook.com/p/%E6%9D%8E%E5%9B%9B%E5%B7%9DHammer-Lee-100051818071280/,personal,first_party,本人 Threads 指認,2026-07-05,true
lee-sc-ig-main,lee-shih-chuan,new-taipei,instagram,hammer__lee,https://www.instagram.com/hammer__lee/,personal,first_party,本人 Threads 指認,2026-07-05,true
lee-sc-ig-old,lee-shih-chuan,new-taipei,instagram,hammer_lee0201,https://www.instagram.com/hammer_lee0201/,personal,unverified,帳號存在且顯示名為李四川 但無第一方指認、無法確認仍由本人使用,2026-07-05,true
lee-sc-threads,lee-shih-chuan,new-taipei,threads,hammer__lee,https://www.threads.com/@hammer__lee,personal,first_party,本人自述,2026-07-05,true
lee-sc-yt,lee-shih-chuan,new-taipei,youtube,UCfS5UhHzM8rjH5DnYuVCw5w,https://www.youtube.com/channel/UCfS5UhHzM8rjH5DnYuVCw5w,personal,first_party,本人 Threads 指認,2026-07-05,true
lee-sc-tiktok,lee-shih-chuan,new-taipei,tiktok,,,personal,unverified,雖有本人自述開設但多輪搜尋（含 site:tiktok.com）截至 2026-07-05 找不到帳號 URL 暫列不存在,2026-07-05,false
huang-sj-fb,huang-shih-chieh,taoyuan,facebook,SCHuangLawyer,https://www.facebook.com/SCHuangLawyer/,campaign,first_party,自介明示候選人；VoteTW 外部連結亦指向此頁（votetw.com/wiki/黃世杰）,2026-07-05,true
huang-sj-ig,huang-shih-chieh,taoyuan,instagram,schuanglawyer,https://www.instagram.com/schuanglawyer/,campaign,first_party,自介明示候選人,2026-07-05,true
huang-sj-threads,huang-shih-chieh,taoyuan,threads,schuanglawyer,https://www.threads.com/@schuanglawyer,campaign,cross_ref,handle 與 IG 對應,2026-07-05,true
huang-sj-yt,huang-shih-chieh,taoyuan,youtube,@黃世杰-o2f,https://www.youtube.com/channel/UC7mnxOvJmztdSfFpOp8BkjQ,campaign,unverified,頻道名稱為黃世杰且搜尋結果指向該頻道 但 handle 為系統自動產生且無官網或 FB/IG 直連可證為本人官方頻道,2026-07-05,true
chang-sc-fb,chang-san-cheng,taoyuan,facebook,SanCheng624,https://www.facebook.com/SanCheng624/,personal,first_party,官方頁面；2026 競選造勢（南區聯合競選總部成立）影片亦由此頁發布,2026-07-05,true
chang-sc-ig,chang-san-cheng,taoyuan,instagram,sancheng624,https://www.instagram.com/sancheng624/,personal,first_party,官方頁面；簡介標語「拚 桃園善好」與 2026 競選主軸一致,2026-07-05,true
